CDFANTASIA    DEFANTASIA                                                       CDFILIAL    UFPROJ    
640           FINEP-RJ                                                         5           RJ        
641           FIOCRUZ-3                                                        1           RJ        
642           SEEC-PR                                                          15          PR        
643           SESP-PR-4                                                        20          PR        
644           SESP-PR-5                                                        5           PR        
645           FUFMT                                                            20          MT        
646           SESP-PR-6                                                        1           PR        
647           SESP-PR-7                                                        1           PR        
648           MP-MG                                                            15          MG        
649           TJ-RJ                                                            20          RJ        
650           INSS-RJ                                                          20          RJ        
651           SESP-PR-8                                                        5           PR        
652           BB-SC-6                                                          1           SC        
653           SESP-PR-9                                                        5           PR        
654           CASA CIVIL-PR                                                    20          PR        
655           SESA-PR                                                          5           PR        
656           CETEM-ES                                                         15          ES        
657           SESP-PR-10                                                       5           PR        
658           DER-PR                                                           10          PR        
659           SESP-PR-11                                                       5           PR        
660           TJ-RJ2                                                           10          RJ        
690           ESCRITORIO-MT                                                    1           MT        
661           CEF-PR-6                                                         10          PR        
662           RF-SP                                                            15          SP        
663           RF-SP-2                                                          1           SP        
664           ALMG                                                             20          MG        
667           INCRA-RJ                                                         1           RJ        
668           UFABC-SP-4                                                       10          SP        
670           SEDEST-PR                                                        5           PR        
669           SESP-PR-12                                                       1           PR        
671           MDS-DF                                                           15          DF        
742           COBRA-4-BA                                                       10          BA        
9551          ESCRITÓRIO-PR2                                                   1           PR        
672           TJ-SC-3                                                          20          SC        
673           ANPRF-SC                                                         20          SC        
674           COBRA-3                                                          10          RJ        
675           TRT RJ                                                           1           RJ        
676           BNB SP                                                           5           SP        
677           IPHAN-SC-2                                                       5           SC        
678           CEF-AL                                                           10          SC        
679           ELETROSUL-3                                                      15          SC        
680           ME-MT                                                            15          MT        
681           FUNASA-MT                                                        20          MT        
682           ESCRITÓRIO-MT2                                                   1           MT        
683           TRE-BA                                                           5           BA        
684           ESCRITÓRIO-AL                                                    1           AL        
685           EMGEA-DF                                                         15          DF        
686           CIDASC-2                                                         1           SC        
687           TJ-SC-4                                                          20          SC        
689           CADE-DF                                                          15          DF        
688           RF-SP-3                                                          15          SP        
362           TJ-RS-7                                                          1           RS        
691           ON-RJ                                                            10          RJ        
692           BB-ES-3                                                          15          ES        
693           SENADO-9                                                         10          DF        
694           CMU-MG                                                           15          MG        
695           SENADO-10                                                        10          DF        
696           RF-SP-4                                                          20          SP        
697           IPHAN-PE                                                         10          CE        
698           STJ-DF-2                                                         15          DF        
699           COREN-SC                                                         1           SC        
700           TRE-RJ                                                           1           RJ        
701           TRT-SC-3                                                         1           SC        
702           CÂMARA RESTAURAÇÃO-2                                             10          DF        
703           MEC-DF-4                                                         1           DF        
704           TJ-MT                                                            5           DF        
705           PRF-SC-2                                                         15          SC        
706           SENADO-11                                                        10          DF        
363           MAPA-RS                                                          5           RS        
707           CÂMARA-APOIO ADM                                                 15          DF        
708           CETEM-RJ-ES                                                      15          RJ        
709           CAIXA-SC-8                                                       1           SC        
710           CAIXA-PR-7 - NAO USAR                                            1           PR        
711           CEF-PR-7                                                         10          PR        
712           RG PARTICIPAÇÕES                                                 1           SC        
713           AL-MG-2                                                          20          MG        
714           EBSERH-UFC                                                       1           CE        
715           SIE-SC                                                           10          SC        
716           ME-SP                                                            1           SP        
717           CAMARA-CENIN-2                                                   20          DF        
364           AL-RS                                                            1           RS        
368           TJ-RS-8                                                          10          RS        
366           AL-RS-2                                                          10          RS        
718           CAMARA GRAFICA 2                                                 10          DF        
719           TRT SC 4                                                         1           SC        
720           CÂMARA DESIGN 4                                                  10          DF        
721           CEF-PR-8                                                         10          PR        
365           TJ-RS 9                                                          1           RS        
722           MP-MT                                                            20          MT        
723           ME-DF 5                                                          20          DF        
367           TJ-RS-10                                                         1           RS        
369           TJ-RS-11                                                         10          RS        
724           DPU-AL-1                                                         1           CE        
725           DPU-AL-2                                                         1           CE        
737           UFMG-5                                                           15          MG        
726           AEB-SP                                                           5           SP        
727           TJ-SC-5                                                          20          SC        
370           TJ-RS-12                                                         1           RS        
728           MP-MT2                                                           20          MT        
371           INMETRO-RS                                                       20          RS        
729           ICMBIO SC                                                        15          SC        
730           AL-MG-3                                                          15          MG        
731           CNJ DF                                                           15          DF        
732           TJ-MG-10                                                         15          MG        
372           ICMBIO RS                                                        15          SC        
