NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
6837	31362	MANGUEIRA DE JARDIM TRAMONTINA 1/2 POLEGADAS	379	1041	1060	133838	EM USO	2024-02-28	NULL	RYAN	2025-01-28
6838	31450	TELA MOSQUETEIRO LAHUMAN VERDE 1,20X50CM	379	1041	1063	133838	EM USO	2024-02-28	NULL	RYAN	2025-01-28
6839	32257	SMARTPHONE LG K9 TV	8	530	309	172436	EM USO	NULL	NULL	BEA.SC	2025-11-17
6840	32301	ASPIRADOR DE PO E AGUA ACQUA POWER ELECTROLUX AQP20 18L 127V	855	1441	350	133838	EM USO	2025-01-07	NULL	RYAN	2025-02-20
6841	32258	SMARTPHONE LG K9 TV	8	530	309	181959	BAIXA	NULL	NULL	BEA.SC	2025-11-28
6842	29234	ROÇADEIRA A GASOLINA	773	613	909	133838	CONSERTO	NULL	NULL	RYAN	2025-01-28
6843	16666	GELADEIRA CONSUL DEGELO SECO CRA30FBANA 261L BRANCA 127V	877	1635	1066	133838	EM USO	NULL	NULL	RYAN	2025-01-29
6844	16664	GELADEIRA CONSUL DEGELO SECO CRA30FBANA 261L BRANCA 127V	877	1635	1066	133838	EM USO	NULL	NULL	RYAN	2025-01-29
6845	31468	ESCADA DOMESTICA EM ALUMINIO 5 DEGRAUS	494	1424	1067	133838	EM USO	2025-01-29	NULL	RYAN	2025-02-04
6846	31319	MONITOR HYRAX LED 19 HDMI VGA VESA 60HZ 100V/240V	200	1422	1068	133838	EM USO	2025-01-29	NULL	RYAN	2025-07-11
6847	31378	MONITOR HYRAX LED 19 HDMI VGA VESA 60HZ 100V/240V	200	1422	1068	133838	EM USO	2025-01-29	NULL	RYAN	2025-07-11
6848	32307	ASPIRADOR DE PO E AGUA ELECTROLUX AWD01 110V	855	1441	1069	133838	EM USO	2025-01-29	NULL	LUIZ	2025-08-20
6849	37042	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2025-01-03	NULL	BEA.SC	2025-08-25
