NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
3901	30082	TELEFONE FIXO INTELBRAS TIP 120I	8	530	417	133838	EM USO	NULL	NULL	BEA.SC	2025-11-14
3902	30084	AR CONDICIONADO	8	530	170	133838	EM USO	NULL	NULL	BEA.SC	2025-10-15
3904	30085	CPU	8	530	151	133838	BAIXA	NULL	NULL	RYAN	2024-09-26
3906	30087	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	2031	409	133838	EM USO	NULL	NULL	BEA.SC	2025-10-14
3907	14087	TELEFONE FIXO INTELBRAS TIP 120I	8	530	417	106577	EM USO	NULL	NULL	BEA.SC	2025-11-14
3908	14085	CPU	8	530	151	106577	EM USO	NULL	NULL	BEA.SC	2025-11-14
3909	14086	SUPORTE 3 GAVETAS PARA MONITOR	8	530	416	106577	EM USO	2024-07-31	NULL	BEA.SC	2025-11-14
3910	14088	ARMARIO DE MDF CINZA 3 GAVETAS	8	530	419	106577	EM USO	NULL	NULL	BEA.SC	2025-11-14
3911	14089	MESA DE ESCRITORIO INDIVIDUAL 2 GAVETAS	8	2031	403	134616	EM USO	NULL	NULL	BEA.SC	2025-10-14
3912	16319	CADEIRA DE ESCRITORIO AZUL (GIRATORIA)	8	530	390	185895	EM USO	NULL	NULL	BEA.SC	2025-11-14
3913	14090	MONITOR DELL	8	530	402	133838	EM USO	NULL	NULL	BEA.SC	2025-11-14
3914	14091	SUPORTE DE VIDRO PARA MONITOR	8	530	414	133838	EM USO	NULL	NULL	BEA.SC	2025-11-14
3915	14092	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	2031	409	178574	EM USO	NULL	NULL	BEA.SC	2025-10-15
3916	16351	CADEIRA DE ESCRITORIO AZUL (GIRATORIA)	8	530	390	133838	EM USO	NULL	NULL	BEA.SC	2025-11-14
3917	7561	MONITOR LG	8	2031	452	133838	EM USO	NULL	NULL	BEA.SC	2025-10-14
3918	14093	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	2031	409	133838	EM USO	NULL	NULL	BEA.SC	2025-10-15
3919	16260	CADEIRA DE ESCRITORIO AZUL (GIRATORIA)	8	2031	390	192606	EM USO	NULL	NULL	BEA.SC	2025-10-14
3920	14094	SUPORTE 2 GAVETAS PARA MONITOR	8	530	415	150097	EM USO	NULL	NULL	BEA.SC	2025-11-17
3921	14095	SUPORTE 2 GAVETAS PARA MONITOR	8	530	415	150097	EM USO	NULL	NULL	BEA.SC	2025-11-17
3922	4023	MESA DE ESCRITORIO INDIVIDUAL 2 GAVETAS	8	2034	403	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3923	30117	TELEFONE FIXO INTELBRAS TIP 120I	8	2034	417	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3924	30118	ARMARIO LONGO 2 GAVETAS	8	2034	443	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3925	30115	ARMARIO BAIXO 2 PORTAS	8	2034	251	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3926	30120	GELADEIRA CONSUL COMPACTA	8	2034	454	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3927	7529	MONITOR LG	8	2034	452	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3928	30121	MINI DELL	8	530	185	133838	BAIXA	NULL	NULL	BEA.SC	2025-11-28
3929	30122	MESA DE ESCRITORIO 3 GAVETAS	8	2034	455	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
