NUPATRIMONIO	SITUACAO	MARCA	CDLOCAL	MODELO	COR	DTAQUISICAO	DEHISTORICO	CDMATRFUNCIONARIO	CDPROJETO	USUARIO	DTOPERACAO	NUMOF	CODOBJETO	FLCONFERIDO
249	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
250	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
251	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
252	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
254	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
255	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
256	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
257	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
258	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
259	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
260	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
261	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
262	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
263	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
264	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
265	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
266	CONSERTO	STIHL	1642			<null>	110V	185895	999915	TIAGOP	29/09/2025	44136	66	N
267	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
268	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
269	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
270	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
271	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
272	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
273	EM USO		2027			<null>	127V	185895	736	BEA.SC	01/10/2025	<null>	66	N
274	EM USO		2031			11/12/2011		133838	8	BEA.SC	15/10/2025	<null>	467	N
275	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
276	BAIXA		1			11/12/2011		133838	8	TIAGOP	02/12/2025	<null>	<null>	N
277	EM USO		2058			<null>	CASA UNIFORMES	133838	8	BEA.SC	01/12/2025	44136	407	S
278	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
279	EM USO		2032			<null>	SALA DO BOSCO	133838	8	BEA.SC	15/10/2025	44136	<null>	N
280	EM USO		2032			11/12/2011		133838	8	BEA.SC	15/10/2025	<null>	<null>	N
281	EM USO		2032			<null>	SALA DO BOSCO	133838	8	BEA.SC	15/10/2025	44136	396	N
282	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
283	BAIXA		2032			11/12/2011	BAIXA	133838	8	BEA.SC	13/11/2025	44136	408	N
