CDLOCAL	DELOCAL	CODIGO_PROJETO	FLATIVO
411	OLIVEIRA	648	0
412	OURO FINO	648	0
413	OURO PRETO	648	0
414	PARA DE MINAS	648	0
415	PARACATU NOVA SEDE	648	0
416	PARACATU (SEDE CÍVEL)	648	0
417	PARACATU (SEDE CRIMINAL)	648	0
418	PARAGUAÇU	648	0
419	PARAOPEBA- SUSPENSÃO	648	0
420	PASSOS - GAECO	648	0
421	PASSOS - SEDE	648	0
422	PATOS DE MINAS	648	0
423	PATOS DE MINAS (MEIO AMBIENTE)	648	0
424	PEDRA AZUL	648	0
425	PEDRO LEOPOLDO	648	0
426	PERDIZES - NÃO IMPLANTADO	648	0
427	PIRAPORA	648	0
428	PITANGUI	648	0
429	PIUMHI	648	0
430	POCO FUNDO - SUSPENSÃO	648	0
431	POCOS DE CALDAS	648	0
432	PONTE NOVA	648	0
433	PORTEIRINHA	648	0
434	POUSO ALEGRE	648	0
435	PRATA - NÃO IMPLANTADO	648	0
436	RAUL SOARES - SUSPENSO	648	0
437	RESPLENDOR	648	0
438	RIBEIRAO DAS NEVES - PROMOTORIAS CÍVEIS - RIO POMBA	648	0
439	RIBEIRAO DAS NEVES - PROMOTORIAS CRIMINAIS	648	0
440	RIO POMBA	648	0
441	RIO VERMELHO	648	0
442	SABARA	648	0
443	SABINOPOLIS - SUSPENSÃO	648	0
444	SACRAMENTO	648	0
445	SALINAS	648	0
446	SANTA BARBARA	648	0
447	SANTA LUZIA	648	0
448	SANTA MARIA DO SUAÇUÍ	648	0
449	SANTA RITA DE CALDAS	648	0
450	SANTA RITA DO SAPUCAI	648	0
451	SANTA VITORIA	648	0
452	SANTO ANTONIO DO MONTE	648	0
453	SAO FRANCISCO	648	0
454	SAO GONCALO DO SAPUCAI	648	0
455	SAO GOTARDO	648	0
456	SÃO JOÃO NEPOMUCENO- SUSPENSÃO	648	0
457	SAO JOAO DA PONTE	648	0
458	SAO JOAO DEL REI	648	0
459	SAO LOURENCO	648	0
460	SAO ROMAO	648	0
461	SAO SEBASTIAO DO PARAISO	648	0
462	SERRO	648	0
463	SETE LAGOAS	648	0
464	SILVIANOPOLIS - NÃO IMPLANTADO	648	0
465	TEOFILO OTONI (COORDENADORIA)	648	0
466	TEOFILO OTONI (INFANCIA E JUVENTUDE)	648	0
467	TIMOTEO	648	0
468	TOMBOS	648	0
469	TRES CORACOES	648	0
470	TRES MARIAS - NÃO IMPLATADO	648	0
471	TRES PONTAS	648	0
472	TUPACIGUARA	648	0
473	UBA	648	0
474	UBERABA	648	0
475	UBERLANDIA	648	0
